,id,Brown dwarf,Constellation,Right ascension,Declination,Distance,Mass,Radius,Discovery year,star_names,distance,mass,radius
177,177,2MASSI J0103320+193536,Pisces,1h 3m 32.03s,19° ′ 35″,70.0,0.049638576,0.1007077399999999,0.0,Adhara,0430,12.5,14
178,178,2MASSI J0103320+193536,Pisces,1h 3m 32.03s,19° ′ 35″,70.0,0.049638576,0.1007077399999999,0.0,Adhara,0430,12.5,14
179,179,2MASSI J0103320+193536,Pisces,1h 3m 32.03s,19° ′ 35″,70.0,0.049638576,0.1007077399999999,0.0,Adhara,0430,12.5,14
180,180,SDSSp J010752.33+004156.1 [de],Cetus,1h 7m 52.42s,−0° 41′ 56.3″,51.0,0.049638576,0.1007077399999999,0.0,Adhara,0430,12.5,14
181,181,SDSSp J010752.33+004156.1 [de],Cetus,1h 7m 52.42s,−0° 41′ 56.3″,51.0,0.049638576,0.1007077399999999,0.0,Adhara,0430,12.5,14
182,182,SDSSp J010752.33+004156.1 [de],Cetus,1h 7m 52.42s,−0° 41′ 56.3″,51.0,0.049638576,0.1007077399999999,0.0,Adhara,0430,12.5,14
183,183,SDSSp J010752.33+004156.1 [de],Cetus,1h 7m 52.42s,−0° 41′ 56.3″,51.0,0.049638576,0.1007077399999999,0.0,Adhara,0430,12.5,14
184,184,SDSSp J010752.33+004156.1 [de],Cetus,1h 7m 52.42s,−0° 41′ 56.3″,51.0,0.049638576,0.1007077399999999,0.0,Shaula,0700,14.5,8.8
185,185,SDSSp J010752.33+004156.1 [de],Cetus,1h 7m 52.42s,−0° 41′ 56.3″,51.0,0.049638576,0.1007077399999999,0.0,Shaula,0700,14.5,8.8
186,186,SDSSp J010752.33+004156.1 [de],Cetus,1h 7m 52.42s,−0° 41′ 56.3″,51.0,0.049638576,0.1007077399999999,0.0,Shaula,0700,14.5,8.8
187,187,SDSSp J010752.33+004156.1 [de],Cetus,1h 7m 52.42s,−0° 41′ 56.3″,51.0,0.049638576,0.1007077399999999,0.0,Shaula,0700,14.5,8.8
188,188,SDSSp J010752.33+004156.1 [de],Cetus,1h 7m 52.42s,−0° 41′ 56.3″,51.0,0.049638576,0.1007077399999999,0.0,Shaula,0700,14.5,8.8
189,189,SDSSp J010752.33+004156.1 [de],Cetus,1h 7m 52.42s,−0° 41′ 56.3″,51.0,0.049638576,0.1007077399999999,0.0,Shaula,0700,14.5,8.8
190,190,2MASSI J0117474-340325 [de],Sculptor,1h 17m 47.48s,−34° 3′ 25.8″,163.0,0.01909176,0.16647606,0.0,Shaula,0700,14.5,8.8
191,191,2MASSI J0117474-340325 [de],Sculptor,1h 17m 47.48s,−34° 3′ 25.8″,163.0,0.01909176,0.16647606,0.0,Shaula,0700,14.5,8.8
192,192,2MASSI J0117474-340325 [de],Sculptor,1h 17m 47.48s,−34° 3′ 25.8″,163.0,0.01909176,0.16647606,0.0,Castor,0052,2.8,2.4
193,193,2MASSI J0117474-340325 [de],Sculptor,1h 17m 47.48s,−34° 3′ 25.8″,163.0,0.01909176,0.16647606,0.0,Castor,0052,2.8,2.4
194,194,2MASSI J0117474-340325 [de],Sculptor,1h 17m 47.48s,−34° 3′ 25.8″,163.0,0.01909176,0.16647606,0.0,Castor,0052,2.8,2.4
195,195,2MASSI J0117474-340325 [de],Sculptor,1h 17m 47.48s,−34° 3′ 25.8″,163.0,0.01909176,0.16647606,0.0,Castor,0052,2.8,2.4
196,196,2MASSI J0117474-340325 [de],Sculptor,1h 17m 47.48s,−34° 3′ 25.8″,163.0,0.01909176,0.16647606,0.0,Castor,0052,2.8,2.4
197,197,2MASSI J0117474-340325 [de],Sculptor,1h 17m 47.48s,−34° 3′ 25.8″,163.0,0.01909176,0.16647606,0.0,Castor,0052,2.8,2.4
198,198,2MASSI J0117474-340325 [de],Sculptor,1h 17m 47.48s,−34° 3′ 25.8″,163.0,0.01909176,0.16647606,0.0,Castor,0052,2.8,2.4
199,199,2MASSI J0117474-340325 [de],Sculptor,1h 17m 47.48s,−34° 3′ 25.8″,163.0,0.01909176,0.16647606,0.0,Castor,0052,2.8,2.4
200,200,2MASS J01415823-4633574 [de],Phoenix,1h 41m 58.23s,−46° 33′ 57.4″,130.0,0.01909176,0.16544843,0.0,Gacrux,0088,1.5,84
201,201,2MASS J01415823-4633574 [de],Phoenix,1h 41m 58.23s,−46° 33′ 57.4″,130.0,0.01909176,0.16544843,0.0,Gacrux,0088,1.5,84
