,id,Brown dwarf,Constellation,Right ascension,Declination,App.mag.,Distance,Spectraltype,Mass,Radius,Discovery year,star_names,distance,mass,radius,luminosity
79,79,2MASSW J0030300-145033,Cetus,0h 30m 30.13s,−14° 50′ 33.3″,0.0,87.2,L7,0.051547752,0.10070773999999999,0.0,Betelgeuse,0640[1],20,950,"60,000"
80,80,2MASS J00332386-1521309 [de],Cetus,0h 33m 23.86s,−15° 21′ ″,0.0,131.0,L1-L4β,0.027683052,0.14695108999999998,0.0,Achernar,0144,6.7,9.3,"3,000"
81,81,2MASS J00332386-1521309 [de],Cetus,0h 33m 23.86s,−15° 21′ ″,0.0,131.0,L1-L4β,0.027683052,0.14695108999999998,0.0,Achernar,0144,6.7,9.3,"3,000"
82,82,2MASS J00332386-1521309 [de],Cetus,0h 33m 23.86s,−15° 21′ ″,0.0,131.0,L1-L4β,0.027683052,0.14695108999999998,0.0,Achernar,0144,6.7,9.3,"3,000"
83,83,2MASS J00332386-1521309 [de],Cetus,0h 33m 23.86s,−15° 21′ ″,0.0,131.0,L1-L4β,0.027683052,0.14695108999999998,0.0,Achernar,0144,6.7,9.3,"3,000"
84,84,2MASS J00332386-1521309 [de],Cetus,0h 33m 23.86s,−15° 21′ ″,0.0,131.0,L1-L4β,0.027683052,0.14695108999999998,0.0,Achernar,0144,6.7,9.3,"3,000"
85,85,2MASS J00332386-1521309 [de],Cetus,0h 33m 23.86s,−15° 21′ ″,0.0,131.0,L1-L4β,0.027683052,0.14695108999999998,0.0,Achernar,0144,6.7,9.3,"3,000"
86,86,2MASS J00332386-1521309 [de],Cetus,0h 33m 23.86s,−15° 21′ ″,0.0,131.0,L1-L4β,0.027683052,0.14695108999999998,0.0,Achernar,0144,6.7,9.3,"3,000"
87,87,2MASS J00332386-1521309 [de],Cetus,0h 33m 23.86s,−15° 21′ ″,0.0,131.0,L1-L4β,0.027683052,0.14695108999999998,0.0,Achernar,0144,6.7,9.3,"3,000"
88,88,2MASS J00332386-1521309 [de],Cetus,0h 33m 23.86s,−15° 21′ ″,0.0,131.0,L1-L4β,0.027683052,0.14695108999999998,0.0,Hadar,0390,10.5,8.6,"42,000"
89,89,2MASS J00332386-1521309 [de],Cetus,0h 33m 23.86s,−15° 21′ ″,0.0,131.0,L1-L4β,0.027683052,0.14695108999999998,0.0,Hadar,0390,10.5,8.6,"42,000"
90,90,2MASS J00345157+0523050,Pisces,0h 34m 51.57s,5° 23′ 5″,0.0,31.0,T6.5,0.040092696000000004,0.09659721999999998,0.0,Hadar,0390,10.5,8.6,"42,000"
91,91,2MASS J00345157+0523050,Pisces,0h 34m 51.57s,5° 23′ 5″,0.0,31.0,T6.5,0.040092696000000004,0.09659721999999998,0.0,Hadar,0390,10.5,8.6,"42,000"
92,92,2MASS J00345157+0523050,Pisces,0h 34m 51.57s,5° 23′ 5″,0.0,31.0,T6.5,0.040092696000000004,0.09659721999999998,0.0,Hadar,0390,10.5,8.6,"42,000"
93,93,2MASS J00345157+0523050,Pisces,0h 34m 51.57s,5° 23′ 5″,0.0,31.0,T6.5,0.040092696000000004,0.09659721999999998,0.0,Hadar,0390,10.5,8.6,"42,000"
94,94,2MASS J00345157+0523050,Pisces,0h 34m 51.57s,5° 23′ 5″,0.0,31.0,T6.5,0.040092696000000004,0.09659721999999998,0.0,Hadar,0390,10.5,8.6,"42,000"
95,95,2MASS J00345157+0523050,Pisces,0h 34m 51.57s,5° 23′ 5″,0.0,31.0,T6.5,0.040092696000000004,0.09659721999999998,0.0,Hadar,0390,10.5,8.6,"42,000"
